Review Content
"great picture effact
  
  
   
   "
"Amazing performance.  Camera is best in this range. Nothing to say. A must buy one.
  
  
   
   "
"no words just Too Good
  
  
   
   "
"nice
  
  
   
   "
"Best mobile in 15k price segment.. totally worth it.
  
  
   
   "
"very good productnice
  
  
   
   "
"best camera I luv it.....
  
  
   
   "
"No words. Awesome! Brought for my friend. Now Want to buy for me also.
  
  
   
   "
"superb phone     
  
  
   
   "
"The phone is quite good but there is a lot of trouble in ordering
  
  
   
   "
"it's awesome
  
  
   
   "
"true value for money
  
  
   
   "
"superb mobile excellent cam
  
  
   
   "
"Brilliant purchase
  
  
   
   "
"perfect camera
  
  
   
   "
"Best phone on this year ,,i love the camera, battery backup, 4gb ram, processeor . please buy a real hd camera phone on this under 15k budget 
  
  
   
   "
"Its very good  phone and very good design and its a very giid funcation
  
  
   
   "
"Awsome
  
  
   
   "
"best fone ever i use
   
  this is 2nd mi device for me..first note 4 and second this. Note 4 experience was very bad cause its mic problem but this device is excellent. some views over using 1and half month.
   
  pros
   
  1. Selfie camera is awesome
   
  2 Rear cam is also good
   
  3battery backup is so good
   
  4 display quality, touch response amazing
   
  5fingerprint sensor very quick
   
  6 looks awesome
   
  7potrait mode unbelievable
   
  cons
   
  1.secondary camera struggles in low light
   
  2 face unlock little slow
   
  3 i faced call drop problem but my friend who have same device don't. I think this problem created after 9.5 upgrade
   
  Overall i m much satisfied with this phone
   
  thanks xiaomi for sustain my belief.
   
  and 5* for flipcart service, so fast
  
  
   
   "
"simply awesome   
  
  
   
   "
"Awsome mobile , tried too buy so many times but finally able to get on 4th april 12:19pm sale.. thanks..
  
  
   
   "
"Thats called a PRO!
   
  Shot on RN5Pro is just amazing.
   
  Also very stylish and Rough Phone.
  
  
   
   "
"it's a awesome phone
  
  
   
   "
"its amazing....
  
  
   
   "
"red color is awesome good quality
  
  
   
   "
"Good for the price...
  
  
   
   "
"awesome look Paisa Vasool mobile
  
  
   
   "
"Pro best camera phone
  
  
   
   "
"sample pic so nice
  
  
   
   "
"1.Best in class day today performance.
   
  2. Best audio from speaker.
   
  3. Good cameras.
   
  4. Best battery life.
   
  5. Best quality display.
   
  6. Best build quality.
  
  
   
   "
"Item seems to have some manufacturing defects. Instead of arranging replacement, dragged the issue continuously without proper resolution.
  
  
   
   "
"Amazing   
  
  
   
   "
"trust me this is ultimate product by MI. first time m using MI product just beacause there are three word behind it 'MADE IN INDIA'   &amp; its been more dn 3 weeks and i just love this product.
   
  awesome camera (not dt much good in lowlight) its OK-OK
   
  battery backup Shandaar.
   
  processing speed super
   
  display cool.
   
  features very good.
   
  light weight.
   
  Bole to Best in this budget'
   
                    
  
  
   
   "
"Box includes:
   
  Phone, Data cable, Soft transparent back cover, wall power adapter and user manual.
   
  Pros:
   
  + Super smart phone
   
  + Excellent build quality
   
  + Gorgeous display
   
  + Very good rear camera with DSLR grade bokeh, it is one of the best under 25K.
   
  + Sleek, sturdy and very premium
   
  + One of the best selfie in the market under 25K.
   
  + No heat, no lagging.
   
  + Dual band WiFi
   
  + Smooth performance from SD-636 coupled with 4GB RAM.
   
  + Great connectivity package - 4G, Dual SIM, FM Radio, WiFi
   
  + Above average sunlight legibility.
   
  Cons:
   
  - No Oreo out of the box.
   
  - No NFC
   
  - Protruding camera lens
   
  - Average speaker loudness.
   
   
  I don't see any mobile as good as this under 18K except last year's Huawei flagships Huawei P9 and Honor 8, Samsung Galaxy S7 &amp; Asus Zenfone Max Pro M1.
   
  Huawei phones have better cameras, better display, same performance and NFC and better low light photography but with smaller display size and and no FM.
   
  S7 has better display which vivid and more punchy, double resolution, superior camera, 4K video recording, better low light photography and Samsung Pay.
   
  Zenfone Pro Max 1 has better display, better sunlight legibility, better battery life, better speaker, equally good camera and quick Android update.
   
   
  Easily recommended under 18K.
  
  
   
   "
"Excellent
   
  Amazing Camera Both Front and Back
   
  Excellent
  
  
   
   "
"Bought on 4th April sale
   
  lets talk about each and every feature
   
   
  Processor: Fast and stable as Royal enfield on a highway.
   
   
  Sound: Loud enough to host an EDM party in your living room.
   
   
  Front camera: Can make Rajpal Yadav look Sushant Singh Rajput.
   
   
  Rear camera: Goodbye to people with DSLR
   
   
  Storage: Huge storage....infact I have rented some space to EKart Logistics for goods storage (earning a good second income)
   
   
  Phone look and feel: The phone is so premium that my parents make the phone rest on bed and instructed me to sleep on floor.
   
   
  The phone is a beast and I request you all not to buy anything else if you don't get one...I hope they end flash sale and the phone is widely available.
  
  
   
   "
"Awesome product with some extra ordinary features in this price range. but also some issue with software update
  
  
   
   "
"awesome phone
   
  awesome picture quality   
  
  
   
   "
